artist,genre,rock,hiphop,country
21-savage,hip-hop,0.0,1.0,0.0
6ix9ine,hip-hop,0.0,1.0,0.0
a$ap-rocky,hip-hop,0.0,1.0,0.0
acdc,rock,4.64804774901027e-309,0.0,1.0
alan-jackson,country,0.0,0.0,1.0
alice-merton,rock,3.7703396590752916e-06,1.2523708757640256e-137,0.9999962296604418
bad-wolves,rock,1.0,5.619857542070496e-182,4.453066771183829e-43
beyonce,hip-hop,0.0,0.0,1.0
billy-joel,rock,1.54900173e-316,0.0,1.0
blake-shelton,country,0.0,0.0,1.0
blocboy-jb,hip-hop,1.088385143661363e-290,1.0,3.606829086399082e-241
bob-seger,rock,0.0,0.0,1.0
bon-jovi,rock,0.0,0.0,1.0
brad-paisley,country,0.0,0.0,1.0
breaking-benjamin,rock,1.0,0.0,1.1641228743683092e-272
brett-eldredge,country,0.0,0.0,1.0
brett-young,country,3.2309e-319,0.0,1.0
brooks-and-dunn,country,0.0,0.0,1.0
brothers-osborne,country,0.0,0.0,1.0
bruno-mars,hip-hop,0.0,0.0,1.0
cardi-b,hip-hop,0.0,1.0,0.0
carrie-underwood,country,0.0,0.0,1.0
childish-gambino,hip-hop,0.0,1.0,0.0
chris-brown,hip-hop,0.0,1.9771753814537562e-100,1.0
chris-janson,country,0.0,0.0,1.0
chris-lane,country,0.0,0.0,1.0
chris-stapleton,country,0.0,0.0,1.0
chris-young,country,0.0,0.0,1.0
chuck-wicks,country,0.0,0.0,1.0
cole-swindell,country,0.0,0.0,1.0
craig-morgan,country,0.0,0.0,1.0
creedence-clearwater-revival,rock,1.3787560218444236e-49,0.0,1.0
dan-shay,country,0.0,0.0,1.0
darius-rucker,country,0.0,0.0,1.0
dave-matthews-band,rock,7.236427008715703e-231,0.0,1.0
def-leppard,rock,5.396095482164758e-171,0.0,1.0
devin-dawson,country,3.621945893456214e-230,3.5e-323,1.0
dierks-bentley,country,0.0,0.0,1.0
disturbed,rock,1.0,0.0,0.0
dj-khaled,hip-hop,0.0,1.0,0.0
drake,hip-hop,0.0,1.0,0.0
dustin-lynch,country,0.0,0.0,1.0
dylan-scott,country,0.0,0.0,1.0
eagles,rock,5.909002098839172e-301,0.0,1.0
ella-mai,hip-hop,7.82193029515652e-270,9.625726568447486e-262,1.0
elton-john,rock,1.821262315995401e-204,0.0,1.0
eminem,hip-hop,0.0,1.0,9.1e-322
eric-church,country,0.0,0.0,1.0
faith-hill,country,0.0,0.0,1.0
fall-out-boy,rock,3.039612258707616e-190,0.0,1.0
famous-dex,hip-hop,0.0,1.0,0.0
five-finger-death-punch,rock,1.0,0.0,2.288249109166569e-248
fleetwood-mac,rock,6.153179956250639e-20,0.0,1.0
florence-the-machine,rock,1.2181443316504042e-63,0.0,1.0
florida-georgia-line,country,0.0,0.0,1.0
foo-fighters,rock,1.0,0.0,8.363987153275527e-82
foster-the-people,rock,1.0,0.0,7.214183484773313e-77
future,hip-hop,0.0,1.0,0.0
garth-brooks,country,5.810885072503285e-172,0.0,1.0
gary-allan,country,0.0,0.0,1.0
g-eazy,hip-hop,0.0,1.0,0.0
george-strait,country,0.0,0.0,1.0
ghost,rock,1.0,0.0,4.599289290032001e-255
godsmack,rock,1.0,0.0,1.2846700117683783e-252
gorillaz,rock,1.0,0.0,3.1084171167363794e-168
greta-van-fleet,rock,0.9995241914900977,1.1598548959658545e-180,0.00047580850900803985
gucci-mane,hip-hop,0.0,1.0,0.0
gunna,hip-hop,0.0,1.0,0.0
guns-n-roses,rock,9.889505225622378e-31,0.0,1.0
h-e-r,hip-hop,1.0333831102513366e-122,2.39971171818815e-237,1.0
hozier,rock,3.4339979201655702e-130,0.0,1.0
imagine-dragons,rock,1.0,0.0,1.6514856773494654e-161
jake-owen,country,0.0,0.0,1.0
james-otto,country,0.0,0.0,1.0
jason-aldean,country,0.0,0.0,1.0
jay-z,hip-hop,0.0,1.0,0.0
j-cole,hip-hop,0.0,1.0,0.0
jimmie-allen,country,1.6378856133893927e-83,1.6780052307917625e-109,1.0
john-mayer,rock,1.876795107243909e-231,0.0,1.0
jon-pardi,country,0.0,0.0,1.0
jordan-davis,country,1.8606285197562437e-221,0.0,1.0
josh-turner,country,0.0,0.0,1.0
journey,rock,3.0668625582292344e-132,0.0,1.0
juice-wrld,hip-hop,1.1173292410265475e-172,4.0463527458541784e-11,0.9999999999563443
kacey-musgraves,country,0.0,0.0,1.0
kane-brown,country,0.0,0.0,1.0
kanye-west,hip-hop,0.0,1.0,0.0
keith-urban,country,0.0,0.0,1.0
kelsea-ballerini,country,0.0,0.0,1.0
kendrick-lamar,hip-hop,0.0,1.0,0.0
kenny-chesney,country,0.0,0.0,1.0
khalid,hip-hop,5.965521119926322e-98,4.766225350857819e-303,1.0
kodak-black,hip-hop,0.0,1.0,0.0
lady-antebellum,country,0.0,0.0,1.0
lanco,country,7.246722129225808e-256,0.0,1.0
led-zeppelin,rock,6.58869209245539e-187,0.0,1.0
lil-baby,hip-hop,0.0,1.0,0.0
lil-pump,hip-hop,0.0,1.0,0.0
lil-skies,hip-hop,0.0,1.0,0.0
lil-uzi-vert,hip-hop,0.0,1.0,0.0
lil-wayne,hip-hop,0.0,1.0,0.0
linkin-park,rock,1.0,0.0,1.2233242744385836e-254
logic,hip-hop,0.0,1.0,0.0
lovelytheband,rock,3.143318218062071e-39,1.3983873318112203e-159,1.0
luke-bryan,country,0.0,0.0,1.0
luke-combs,country,0.0,0.0,1.0
lynyrd-skynyrd,rock,0.0,0.0,1.0
maren-morris,country,7.13260931401597e-200,0.0,1.0
metallica,rock,1.0,0.0,0.0
metro-boomin,hip-hop,1.3169985273823835e-257,1.0,1.8251272367568515e-228
midland,country,6.154315301257758e-185,0.0,1.0
migos,hip-hop,0.0,1.0,0.0
miranda-lambert,country,0.0,0.0,1.0
mitchell-tenpenny,country,1.6146981915272885e-260,2.8698962835367945e-227,1.0
montgomery-gentry,country,0.0,0.0,1.0
morgan-evans,country,1.0295917448463791e-166,3.8213147715966983e-267,1.0
morgan-wallen,country,1.9400336606514533e-190,0.0,1.0
nf,hip-hop,0.0,0.0,1.0
nicki-minaj,hip-hop,0.0,1.0,0.0
offset,hip-hop,0.0,1.0,0.0
old-dominion,country,0.0,0.0,1.0
panic!-at-the-disco,rock,7.40219318228773e-128,0.0,1.0
paul-mccartney,rock,3.3431022131743614e-186,0.0,1.0
portugal-the-man,rock,6.061879307894395e-104,0.0,1.0
post-malone,hip-hop,0.0,1.0,0.0
quavo,hip-hop,0.0,1.0,3.948167454938632e-275
queen,rock,1.0,0.0,8.403557227827352e-186
rascal-flatts,country,0.0,0.0,1.0
reba-mcentire,country,0.0,0.0,1.0
red-hot-chili-peppers,rock,1.0361306660854939e-112,0.0,1.0
rich-the-kid,hip-hop,0.0,1.0,0.0
rodney-atkins,country,0.0,0.0,1.0
russel-dickerson,country,9.026085623697172e-07,6.435197678619149e-33,0.99999909739149
sam-hunt,country,0.0,0.0,1.0
scotty-mccreery,country,0.0,0.0,1.0
shinedown,rock,1.0,0.0,1.1298430199166477e-109
simon-and-garfunkel,rock,1.0,0.0,1.8672090721403768e-85
sugarland,country,3.691138583325148e-166,0.0,1.0
sza,hip-hop,8.717601946897314e-109,1.7802111886049192e-189,1.0
the-beatles,rock,2.623666317550791e-125,0.0,1.0
the-carters,hip-hop,0.0,1.0,6.031206074227978e-245
the-lumineers,rock,3.083265476799223e-116,0.0,1.0
the-rolling-stones,rock,2.5615886987524226e-198,0.0,1.0
the-weeknd,hip-hop,0.0,0.0,1.0
thirty-seconds-to-mars,rock,1.0,0.0,0.0
thomas-rhett,country,0.0,0.0,1.0
tim-mcgraw,country,0.0,0.0,1.0
toby-keith,country,0.0,0.0,1.0
tom-petty-and-the-heartbreakers,rock,0.0,0.0,1.0
trace-adkins,country,0.0,0.0,1.0
travis-scott,hip-hop,0.0,1.0,0.0
trippie-redd,hip-hop,0.0,1.0,0.0
twenty-one-pilots,rock,1.0,0.0,4.0609007432427495e-99
ty-dolla-$ign,hip-hop,0.0,1.0,0.0
tyga,hip-hop,0.0,1.0,0.0
u2,rock,5.1948821953602384e-167,0.0,1.0
vance-joy,rock,1.0486850636070372e-101,0.0,1.0
walker-hayes,country,0.0,0.0,1.0
walk-the-moon,rock,1.6002729942470942e-35,0.0,1.0
weezer,rock,3.3404003167988034e-295,0.0,1.0
xxxtentacion,hip-hop,0.0,1.0,0.0
yg,hip-hop,0.0,1.0,0.0
youngboy-never-broke-again,hip-hop,0.0,1.0,0.0
zac-brown-band,country,0.0,0.0,1.0
