name,rock,hiphop,country
gloomhaven,0.12930695284606736,4.618416545579215e-08,0.8706930009697693
pandemic legacy,0.7601895306698933,0.0003271553265682168,0.23948331400354583
terraforming mars,0.9999911070206988,1.8393870442096645e-09,8.891139879767415e-06
twilight struggle,0.9848600196523769,2.1847450218013886e-07,0.015139761873177492
star wars rebellion,0.7181780465190604,7.579434749008394e-06,0.2818143740461976
scythe,0.9914261228210891,4.2531136668237606e-07,0.008573451867540141
twilight imperium,0.9997308940756826,2.1117816777718934e-14,0.0002691059242104933
great western trail,0.9874596412341191,7.448727957817315e-08,0.012540284278574265
terra mystica,0.006603405498042558,5.348930555424399e-08,0.9933965410126812
shawshank redemption,1.1874969186443614e-06,2.9915143774765623e-12,0.9999988125000757
the godfather,0.9458709430761814,1.683394328900595e-07,0.05412888858443653
the dark knight,0.009661694529364146,1.3091316681154489e-06,0.9903369963389586
12 angry men,0.9968789287236778,3.929801007894619e-06,0.003117141475309887
schindlers list,0.9812195713431554,1.184614202720509e-08,0.01878041681065535
lord of the rings return of the king,0.00018996878585424915,6.590564104028382e-23,0.9998100312140445
pulp fiction,0.006339108754775808,0.007947899553398507,0.9857129916918015
the good the bad and the ugly,0.07844399076493123,1.0426158598909163e-06,0.9215549666192512
fight club,0.003847891641752295,1.712554301455747e-17,0.9961521083583241
forrest gump,5.7795094035694174e-05,1.8940698684565675e-06,0.9999403108361057
band of brothers,0.999479965593726,1.2307275094712403e-11,0.000520034393934832
game of thrones,0.9977179471600919,1.507624879741168e-07,0.002281902077409477
breaking bad,0.003044997304417865,5.2476770191994576e-08,0.9969549502187762
the wire,0.2805308979342117,0.5969324720987355,0.12253662996701338
sherlock,0.9186863036002463,0.025599801445008893,0.055713894954765406
chernobyl,0.675533035537873,0.0030322003621879967,0.3214347640999456
firefly,0.9948872983400743,2.2644770472163268e-05,0.005090056889434127
rick and morty,0.2998975021249324,0.0619067083958803,0.6381957894792143
the sopranos,0.040061699283495435,0.6566651053746796,0.303273195341801
to kill a mockingbird,4.0048814916142005e-09,5.091177102042527e-16,0.9999999959950401
the time machine,4.148262447023843e-05,1.6143132103073316e-14,0.9999585173755353
grapes of wrath,0.011234015737682386,4.3075299431631186e-05,0.9887229089628967
the great gatsby,0.0005725781650846265,3.2172749850445606e-06,0.9994242045598885
the adventures of tom sawyer,5.803421591943112e-06,9.613291458065582e-10,0.9999941956171113
