artist,genre_1,genre_2,genre_3
the-beatles,rock,pop,
elvis-presley,rock-and-roll,pop,country
michael-jackson,pop,rock,dance
madonna,pop,dance,electronica
elton-john,pop,rock,
led-zeppelin,hard-rock,blues-rock,folk-rock
rihanna,r-and-b,pop,dance
pink-floyd,progressive-rock,psychedelic-rock,
eminem,hip-hop,,
taylor-swift,country,country-pop,pop
mariah-carey,r-and-b,pop,soul
queen,rock,,
whitney-houston,r-and-b,soul,pop
celine-dion,pop,,
acdc,hard-rock,blues-rock,rock-and-roll
the-rolling-stones,rock,blues-rock,
garth-brooks,country,,
eagles,rock,,
billy-joel,pop,rock,
u2,rock,,
phil-collins,rock,progressive-rock,adult-contemporary
aerosmith,hard-rock,,
abba,pop,disco,
frank-sinatra,pop,swing,
barbra-streisand,pop,adult-contemporary,
justin-bieber,pop,teen-pop,dance-pop
ed-sheeran,pop,folk-pop,
bruce-springsteen,rock,,
kanye-west,hip-hop,electronic,pop-rock
bruno-mars,pop-rock,r-and-b,
metallica,heavy-metal,thrash-metal,
bee-gees,pop,disco,
lady-gaga,pop,dance,electronic
drake,hip-hop,r-and-b,pop
maroon-5,pop-rock,funk-rock,dance-pop
katy-perry,pop,,
jay-z,hip-hop,,
adele,pop,soul,
chris-brown,pop,r-and-b,hip-hop
lil-wayne,hip-hop,,
beyonce,r-and-b,pop,
coldplay,alternative-rock,pop-rock,pop
bon-jovi,hard-rock,glam-metal,
linkin-park,alternative-rock,nu-metal,rap-rock
fleetwood-mac,rock,pop,
britney-spears,pop,dance,dance-pop
rod-stewart,rock,pop,
backstreet-boys,pop,,
guns-n-roses,hard-rock,heavy-metal,
george-strait,country,,
eric-clapton,rock,blues,
neil-diamond,pop,rock,
santana,rock,,
prince,funk,r-and-b,pop
kenny-rogers,country,pop,
paul-mccartney,rock,,
simon-and-garfunkel,folk-rock,,
janet-jackson,r-and-b,pop,
chicago,rock,pop,
dire-straits,rock,,
bob-dylan,folk,rock,
def-leppard,hard-rock,heavy-metal,
cher,pop,rock,dance
genesis,progressive-rock,pop-rock,
olivia-newton-john,pop,,
james-taylor,rock,pop,
stevie-wonder,funk,r-and-b,soul
david-bowie,art-rock,glam-rock,pop
tina-turner,rock,pop,
linda-ronstadt,rock,folk,country
donna-summer,pop,disco,r-and-b
the-beach-boys,rock,pop,surf-rock
the-who,rock,hard-rock,
barry-white,r-and-b,soul,
shania-twain,country,pop,
pink,pop,pop-rock,r-and-b
the-carpenters,pop,,
lionel-richie,pop,r-and-b,
earth-wind-and-fire,funk,r-and-b,soul
johnny-cash,country,rock-and-roll,gospel
justin-timberlake,pop,r-and-b,neo-soul
nicki-minaj,hip-hop,pop,
rem,alternative-rock,,
flo rida,hip-hop,hip-house,edm
van-halen,hard-rock,heavy-metal,
red-hot-chili-peppers,funk-rock,alternative-rock,
foreigner,rock,hard-rock,
george-michael,pop,,
the-doors,psychedelic-rock,,
meat-loaf,rock,hard-rock,
reba-mcentire,country,country-pop,
tom-petty,rock,,
johnny-hallyday,rock,pop,
the-black-eyed-peas,hip-hop,r-and-b,dance
journey,rock,soft-rock,
tim-mcgraw,country,,
usher,r-and-b,pop,
christina-aguilera,r-and-b,pop,rock
r-kelly,r-and-b,soul,hip-hop
robbie-williams,pop-rock,,
kenny-g,smooth-jazz,,
tupac-shakur,hip-hop,,
enya,new-age,celtic,
shakira,latin-pop,pop,pop-rock
alabama,country,pop-rock,
nirvana,grunge,alternative-rock,
bryan-adams,rock,,
bob-seger,rock,pop-rock,rock-and-roll
bob-marley,reggae,,
the-police,pop,rock,
barry-manilow,pop,soft-rock,
kiss,hard-rock,heavy-metal,
aretha-franklin,soul,jazz,blues
