artist,genre
drake,hip-hop
post-malone,hip-hop
cardi-b,hip-hop
xxxtentacion,hip-hop
migos,hip-hop
travis-scott,hip-hop
juice-wrld,hip-hop
kendrick-lamar,hip-hop
bruno-mars,hip-hop
the-weeknd,hip-hop
j-cole,hip-hop
nicki-minaj,hip-hop
6ix9ine,hip-hop
lil-baby,hip-hop
khalid,hip-hop
lil-wayne,hip-hop
youngboy-never-broke-again,hip-hop
ella-mai,hip-hop
g-eazy,hip-hop
nf,hip-hop
lil-uzi-vert,hip-hop
lil-pump,hip-hop
chris-brown,hip-hop
logic,hip-hop
sza,hip-hop
kodak-black,hip-hop
21-savage,hip-hop
rich-the-kid,hip-hop
kanye-west,hip-hop
lil-skies,hip-hop
childish-gambino,hip-hop
the-carters,hip-hop
blocboy-jb,hip-hop
offset,hip-hop
metro-boomin,hip-hop
jay-z,hip-hop
trippie-redd,hip-hop
future,hip-hop
gucci-mane,hip-hop
yg,hip-hop
gunna,hip-hop
famous-dex,hip-hop
beyonce,hip-hop
ty-dolla-$ign,hip-hop
tyga,hip-hop
quavo,hip-hop
a$ap-rocky,hip-hop
h-e-r,hip-hop
dj-khaled,hip-hop
imagine-dragons,rock
portugal-the-man,rock
panic!-at-the-disco,rock
twenty-one-pilots,rock
five-finger-death-punch,rock
foster-the-people,rock
lovelytheband,rock
bad-wolves,rock
the-beatles,rock
greta-van-fleet,rock
metallica,rock
weezer,rock
fleetwood-mac,rock
tom-petty-and-the-heartbreakers,rock
walk-the-moon,rock
journey,rock
fall-out-boy,rock
dave-matthews-band,rock
alice-merton,rock
guns-n-roses,rock
foo-fighters,rock
linkin-park,rock
thirty-seconds-to-mars,rock
bon-jovi,rock
creedence-clearwater-revival,rock
breaking-benjamin,rock
bob-seger,rock
godsmack,rock
shinedown,rock
paul-mccartney,rock
florence-the-machine,rock
john-mayer,rock
the-lumineers,rock
red-hot-chili-peppers,rock
vance-joy,rock
hozier,rock
lynyrd-skynyrd,rock
gorillaz,rock
disturbed,rock
simon-and-garfunkel,rock
def-leppard,rock
ghost,rock
chris-stapleton,country
kane-brown,country
florida-georgia-line,country
luke-combs,country
thomas-rhett,country
luke-bryan,country
jason-aldean,country
dan-shay,country
kenny-chesney,country
blake-shelton,country
brett-young,country
keith-urban,country
carrie-underwood,country
old-dominion,country
eric-church,country
sam-hunt,country
lanco,country
dierks-bentley,country
chris-young,country
cole-swindell,country
russel-dickerson,country
jon-pardi,country
maren-morris,country
jordan-davis,country
scotty-mccreery,country
kelsea-ballerini,country
tim-mcgraw,country
dustin-lynch,country
morgan-wallen,country
zac-brown-band,country
darius-rucker,country
jake-owen,country
brett-eldredge,country
chris-janson,country
alan-jackson,country
dylan-scott,country
devin-dawson,country
chris-lane,country
walker-hayes,country
miranda-lambert,country
brothers-osborne,country
kacey-musgraves,country
sugarland,country
midland,country
mitchell-tenpenny,country
jimmie-allen,country
george-strait,country
morgan-evans,country
faith-hill,country
